504 252 10 0 0 0 0 0 0 0
1 127 248 334 413 451 478 492 503 0 
2 128 249 335 414 452 478 487 504 0 
3 129 250 336 409 453 479 493 0 0 
4 130 251 337 415 451 480 487 0 0 
5 131 252 338 416 452 481 494 0 0 
6 132 253 339 417 451 477 489 0 0 
7 133 254 334 418 449 482 495 0 0 
8 134 255 340 419 454 476 493 0 0 
9 135 256 341 420 455 475 496 0 0 
10 136 254 342 421 456 476 486 0 0 
11 137 248 343 422 457 483 497 0 0 
12 138 257 344 415 458 479 498 0 0 
4 139 258 345 414 459 483 486 0 0 
13 140 259 336 423 460 480 499 0 0 
14 141 260 346 424 461 482 487 0 0 
15 142 246 347 425 462 483 499 0 0 
16 143 261 348 424 463 479 497 0 0 
17 144 247 349 426 464 480 492 0 0 
18 145 262 350 416 465 484 498 504 0 
19 146 263 351 415 466 482 498 0 0 
20 147 264 352 427 450 485 497 503 0 
21 148 265 353 428 454 480 493 503 0 
22 149 266 338 423 459 485 493 0 0 
23 150 267 354 426 459 477 490 0 0 
24 151 268 343 417 456 484 490 504 0 
25 152 269 344 429 467 476 490 0 0 
26 153 270 355 430 468 480 491 0 0 
27 154 271 355 411 469 479 496 0 0 
19 155 272 356 418 468 476 489 0 0 
26 156 273 342 431 470 478 490 500 0 
28 157 265 357 432 471 486 490 0 0 
29 158 274 358 408 460 483 492 0 0 
30 159 256 359 433 464 477 495 0 0 
31 155 275 360 434 453 480 490 502 0 
32 160 275 361 417 472 486 495 503 0 
33 161 276 362 435 470 476 495 0 0 
34 162 277 363 436 465 474 497 502 0 
35 163 278 362 423 465 478 489 0 0 
36 164 279 364 431 466 477 496 0 0 
37 165 253 365 437 471 485 494 0 0 
38 166 280 366 434 471 482 494 503 0 
39 167 281 367 434 467 486 497 0 0 
37 168 272 368 438 464 486 493 496 0 
40 145 282 369 429 447 477 497 0 0 
41 139 283 370 439 473 487 500 0 0 
42 169 284 371 418 455 486 494 0 0 
43 170 285 348 434 456 477 498 0 0 
44 171 252 351 438 470 479 489 0 0 
45 172 286 372 395 460 486 498 0 0 
46 173 269 373 423 473 488 495 0 0 
47 174 248 320 431 473 489 495 0 0 
48 161 287 374 408 457 479 500 504 0 
49 175 288 370 432 455 480 501 0 0 
50 176 289 375 439 474 485 501 502 0 
51 177 244 369 440 454 478 494 0 0 
52 178 290 329 407 474 482 498 502 0 
53 178 249 376 441 456 488 493 497 0 
54 175 257 377 438 453 482 500 0 0 
55 179 291 360 442 468 482 496 504 0 
56 180 278 364 417 474 488 501 0 0 
24 181 292 378 439 454 481 496 0 0 
57 182 293 348 410 457 480 488 0 0 
58 183 251 379 410 461 483 489 0 0 
59 141 279 334 439 475 483 501 0 0 
57 184 276 357 436 452 482 493 0 0 
60 185 289 332 420 461 484 493 0 0 
61 186 294 380 394 455 476 500 0 0 
42 187 295 381 419 475 477 499 0 0 
56 185 250 382 443 473 486 492 0 0 
1 188 296 367 423 458 476 500 502 0 
36 157 290 381 423 461 481 491 502 0 
39 165 274 346 444 474 479 496 0 0 
62 189 297 376 412 473 490 495 502 0 
63 142 280 382 414 475 484 491 0 0 
64 190 298 331 421 475 487 495 498 0 
44 191 299 383 428 472 482 488 0 0 
65 192 300 384 413 450 482 499 0 0 
41 193 301 373 431 450 479 501 0 0 
66 168 296 385 412 475 489 497 0 0 
66 148 302 335 424 470 485 492 0 0 
65 194 258 356 432 473 479 499 503 0 
67 195 288 386 413 472 485 491 500 0 
32 195 303 387 436 468 478 498 0 0 
68 196 273 363 442 458 487 494 503 0 
69 197 245 388 406 472 481 491 0 0 
70 158 267 389 435 458 488 496 504 0 
71 198 303 327 421 451 473 492 0 0 
5 199 292 390 429 449 479 500 0 0 
72 200 282 387 426 474 487 496 0 0 
73 201 299 391 409 455 483 498 504 0 
43 202 260 380 415 448 484 494 504 0 
11 203 304 392 420 467 482 492 504 0 
74 204 281 393 418 472 480 498 0 0 
75 205 305 392 438 459 487 497 0 0 
76 191 290 394 429 451 484 486 0 0 
77 184 306 395 427 472 479 501 0 0 
78 206 306 396 443 448 476 498 0 0 
64 207 256 362 411 474 490 494 0 0 
79 137 295 391 424 459 481 497 0 0 
80 189 260 392 397 460 478 496 501 0 
81 188 291 397 441 462 480 495 0 0 
82 208 307 361 416 464 483 490 503 0 
83 209 308 398 442 472 476 493 0 0 
16 193 254 339 420 452 485 490 0 0 
77 131 250 328 430 454 467 489 499 0 
84 182 266 358 445 475 478 493 0 0 
85 210 308 347 436 459 479 496 0 0 
86 200 255 339 441 475 486 500 0 0 
85 190 288 399 446 460 488 493 0 0 
87 211 264 371 443 463 483 493 503 0 
88 212 287 388 425 465 482 492 0 0 
49 164 309 398 447 474 484 497 502 0 
84 213 297 391 421 467 479 491 0 0 
89 214 310 330 416 455 488 489 0 0 
38 130 311 368 446 476 481 497 504 0 
17 196 298 400 417 450 481 498 0 0 
90 143 312 398 427 453 481 499 0 0 
47 215 313 380 408 449 478 497 0 0 
91 216 314 374 442 473 485 502 0 0 
